rent_sno,return_sno,rent_sna,rent_lat,rent_lng,return_sna,return_lat,return_lng,count
66,69,師範大學公館校區,25.007528,121.537188,興豐公園,24.999837,121.547778,2
66,94,師範大學公館校區,25.007528,121.537188,捷運景美站,24.993254,121.541059,11
66,104,師範大學公館校區,25.007528,121.537188,台北花木批發市場,25.004023,121.54074,4
66,296,師範大學公館校區,25.007528,121.537188,萬和二號公園,25.001545,121.536446,2
66,315,師範大學公館校區,25.007528,121.537188,捷運萬隆站(1號出口),25.001447,121.539037,13
66,369,師範大學公館校區,25.007528,121.537188,世新大學,24.98862,121.54361,2
69,66,興豐公園,24.999837,121.547778,師範大學公館校區,25.007528,121.537188,2
69,94,興豐公園,24.999837,121.547778,捷運景美站,24.993254,121.541059,14
69,206,興豐公園,24.999837,121.547778,捷運辛亥站,25.005386,121.55716,4
69,296,興豐公園,24.999837,121.547778,萬和二號公園,25.001545,121.536446,2
69,315,興豐公園,24.999837,121.547778,捷運萬隆站(1號出口),25.001447,121.539037,2
69,391,興豐公園,24.999837,121.547778,景仁公園,24.9966,121.540295,2
94,66,捷運景美站,24.993254,121.541059,師範大學公館校區,25.007528,121.537188,4
94,69,捷運景美站,24.993254,121.541059,興豐公園,24.999837,121.547778,16
94,98,捷運景美站,24.993254,121.541059,羅斯福景隆街口,24.999378,121.540197,2
94,104,捷運景美站,24.993254,121.541059,台北花木批發市場,25.004023,121.54074,11
94,142,捷運景美站,24.993254,121.541059,捷運木柵站,24.997996,121.57444,2
94,143,捷運景美站,24.993254,121.541059,捷運動物園站(2號出口),24.997659,121.578752,2
94,151,捷運景美站,24.993254,121.541059,考試院,24.987507,121.549827,17
94,171,捷運景美站,24.993254,121.541059,文山運動中心,24.996842,121.559651,4
94,272,捷運景美站,24.993254,121.541059,忠順區民活動中心,24.984707,121.563125,2
94,296,捷運景美站,24.993254,121.541059,萬和二號公園,25.001545,121.536446,6
94,369,捷運景美站,24.993254,121.541059,世新大學,24.98862,121.54361,16
94,383,捷運景美站,24.993254,121.541059,一壽橋,24.97848,121.55545,2
94,388,捷運景美站,24.993254,121.541059,景華街128巷口,24.995563,121.547092,39
94,391,捷運景美站,24.993254,121.541059,景仁公園,24.9966,121.540295,2
98,69,羅斯福景隆街口,24.999378,121.540197,興豐公園,24.999837,121.547778,7
98,94,羅斯福景隆街口,24.999378,121.540197,捷運景美站,24.993254,121.541059,2
98,228,羅斯福景隆街口,24.999378,121.540197,捷運萬芳社區站,24.998811,121.56789,2
98,315,羅斯福景隆街口,24.999378,121.540197,捷運萬隆站(1號出口),25.001447,121.539037,2
98,388,羅斯福景隆街口,24.999378,121.540197,景華街128巷口,24.995563,121.547092,2
104,69,台北花木批發市場,25.004023,121.54074,興豐公園,24.999837,121.547778,4
104,94,台北花木批發市場,25.004023,121.54074,捷運景美站,24.993254,121.541059,4
104,98,台北花木批發市場,25.004023,121.54074,羅斯福景隆街口,24.999378,121.540197,2
104,171,台北花木批發市場,25.004023,121.54074,文山運動中心,24.996842,121.559651,6
104,315,台北花木批發市場,25.004023,121.54074,捷運萬隆站(1號出口),25.001447,121.539037,3
104,391,台北花木批發市場,25.004023,121.54074,景仁公園,24.9966,121.540295,4
141,94,文山行政中心,24.989902,121.569984,捷運景美站,24.993254,121.541059,2
141,142,文山行政中心,24.989902,121.569984,捷運木柵站,24.997996,121.57444,6
141,151,文山行政中心,24.989902,121.569984,考試院,24.987507,121.549827,2
141,166,文山行政中心,24.989902,121.569984,臺北市立景美女中,24.980602,121.556177,4
141,262,文山行政中心,24.989902,121.569984,永安藝文館-表演36房,24.984144,121.569064,2
141,272,文山行政中心,24.989902,121.569984,忠順區民活動中心,24.984707,121.563125,8
142,141,捷運木柵站,24.997996,121.57444,文山行政中心,24.989902,121.569984,4
142,143,捷運木柵站,24.997996,121.57444,捷運動物園站(2號出口),24.997659,121.578752,6
142,166,捷運木柵站,24.997996,121.57444,臺北市立景美女中,24.980602,121.556177,2
142,171,捷運木柵站,24.997996,121.57444,文山運動中心,24.996842,121.559651,2
142,262,捷運木柵站,24.997996,121.57444,永安藝文館-表演36房,24.984144,121.569064,4
142,272,捷運木柵站,24.997996,121.57444,忠順區民活動中心,24.984707,121.563125,7
143,69,捷運動物園站(2號出口),24.997659,121.578752,興豐公園,24.999837,121.547778,2
143,94,捷運動物園站(2號出口),24.997659,121.578752,捷運景美站,24.993254,121.541059,2
143,141,捷運動物園站(2號出口),24.997659,121.578752,文山行政中心,24.989902,121.569984,9
143,142,捷運動物園站(2號出口),24.997659,121.578752,捷運木柵站,24.997996,121.57444,2
143,166,捷運動物園站(2號出口),24.997659,121.578752,臺北市立景美女中,24.980602,121.556177,4
143,262,捷運動物園站(2號出口),24.997659,121.578752,永安藝文館-表演36房,24.984144,121.569064,3
143,272,捷運動物園站(2號出口),24.997659,121.578752,忠順區民活動中心,24.984707,121.563125,2
143,315,捷運動物園站(2號出口),24.997659,121.578752,捷運萬隆站(1號出口),25.001447,121.539037,2
143,335,捷運動物園站(2號出口),24.997659,121.578752,景文中學,24.986301,121.567855,2
151,66,考試院,24.987507,121.549827,師範大學公館校區,25.007528,121.537188,2
151,94,考試院,24.987507,121.549827,捷運景美站,24.993254,121.541059,9
151,272,考試院,24.987507,121.549827,忠順區民活動中心,24.984707,121.563125,2
166,69,臺北市立景美女中,24.980602,121.556177,興豐公園,24.999837,121.547778,8
166,143,臺北市立景美女中,24.980602,121.556177,捷運動物園站(2號出口),24.997659,121.578752,2
166,383,臺北市立景美女中,24.980602,121.556177,一壽橋,24.97848,121.55545,3
171,69,文山運動中心,24.996842,121.559651,興豐公園,24.999837,121.547778,2
171,94,文山運動中心,24.996842,121.559651,捷運景美站,24.993254,121.541059,2
171,98,文山運動中心,24.996842,121.559651,羅斯福景隆街口,24.999378,121.540197,2
171,142,文山運動中心,24.996842,121.559651,捷運木柵站,24.997996,121.57444,2
171,151,文山運動中心,24.996842,121.559651,考試院,24.987507,121.549827,5
171,228,文山運動中心,24.996842,121.559651,捷運萬芳社區站,24.998811,121.56789,2
171,247,文山運動中心,24.996842,121.559651,木柵公園,24.987144,121.560627,6
171,272,文山運動中心,24.996842,121.559651,忠順區民活動中心,24.984707,121.563125,2
171,391,文山運動中心,24.996842,121.559651,景仁公園,24.9966,121.540295,2
205,142,木柵光輝路口,24.988241,121.55561,捷運木柵站,24.997996,121.57444,2
205,143,木柵光輝路口,24.988241,121.55561,捷運動物園站(2號出口),24.997659,121.578752,3
205,151,木柵光輝路口,24.988241,121.55561,考試院,24.987507,121.549827,4
205,166,木柵光輝路口,24.988241,121.55561,臺北市立景美女中,24.980602,121.556177,2
205,296,木柵光輝路口,24.988241,121.55561,萬和二號公園,25.001545,121.536446,2
206,94,捷運辛亥站,25.005386,121.55716,捷運景美站,24.993254,121.541059,2
228,94,捷運萬芳社區站,24.998811,121.56789,捷運景美站,24.993254,121.541059,4
228,141,捷運萬芳社區站,24.998811,121.56789,文山行政中心,24.989902,121.569984,4
228,171,捷運萬芳社區站,24.998811,121.56789,文山運動中心,24.996842,121.559651,4
228,262,捷運萬芳社區站,24.998811,121.56789,永安藝文館-表演36房,24.984144,121.569064,2
247,94,木柵公園,24.987144,121.560627,捷運景美站,24.993254,121.541059,3
247,142,木柵公園,24.987144,121.560627,捷運木柵站,24.997996,121.57444,2
247,143,木柵公園,24.987144,121.560627,捷運動物園站(2號出口),24.997659,121.578752,2
247,151,木柵公園,24.987144,121.560627,考試院,24.987507,121.549827,2
247,206,木柵公園,24.987144,121.560627,捷運辛亥站,25.005386,121.55716,2
262,142,永安藝文館-表演36房,24.984144,121.569064,捷運木柵站,24.997996,121.57444,5
262,143,永安藝文館-表演36房,24.984144,121.569064,捷運動物園站(2號出口),24.997659,121.578752,2
262,151,永安藝文館-表演36房,24.984144,121.569064,考試院,24.987507,121.549827,2
272,141,忠順區民活動中心,24.984707,121.563125,文山行政中心,24.989902,121.569984,3
272,166,忠順區民活動中心,24.984707,121.563125,臺北市立景美女中,24.980602,121.556177,2
272,171,忠順區民活動中心,24.984707,121.563125,文山運動中心,24.996842,121.559651,4
272,335,忠順區民活動中心,24.984707,121.563125,景文中學,24.986301,121.567855,4
296,69,萬和二號公園,25.001545,121.536446,興豐公園,24.999837,121.547778,2
296,94,萬和二號公園,25.001545,121.536446,捷運景美站,24.993254,121.541059,10
296,315,萬和二號公園,25.001545,121.536446,捷運萬隆站(1號出口),25.001447,121.539037,10
296,391,萬和二號公園,25.001545,121.536446,景仁公園,24.9966,121.540295,2
315,66,捷運萬隆站(1號出口),25.001447,121.539037,師範大學公館校區,25.007528,121.537188,11
315,69,捷運萬隆站(1號出口),25.001447,121.539037,興豐公園,24.999837,121.547778,19
315,104,捷運萬隆站(1號出口),25.001447,121.539037,台北花木批發市場,25.004023,121.54074,2
315,296,捷運萬隆站(1號出口),25.001447,121.539037,萬和二號公園,25.001545,121.536446,11
315,391,捷運萬隆站(1號出口),25.001447,121.539037,景仁公園,24.9966,121.540295,27
335,141,景文中學,24.986301,121.567855,文山行政中心,24.989902,121.569984,2
335,142,景文中學,24.986301,121.567855,捷運木柵站,24.997996,121.57444,2
335,262,景文中學,24.986301,121.567855,永安藝文館-表演36房,24.984144,121.569064,3
335,272,景文中學,24.986301,121.567855,忠順區民活動中心,24.984707,121.563125,2
369,66,世新大學,24.98862,121.54361,師範大學公館校區,25.007528,121.537188,5
369,94,世新大學,24.98862,121.54361,捷運景美站,24.993254,121.541059,6
369,205,世新大學,24.98862,121.54361,木柵光輝路口,24.988241,121.55561,4
383,142,一壽橋,24.97848,121.55545,捷運木柵站,24.997996,121.57444,4
383,151,一壽橋,24.97848,121.55545,考試院,24.987507,121.549827,2
385,94,和興路26巷口,24.9856,121.54531,捷運景美站,24.993254,121.541059,3
385,143,和興路26巷口,24.9856,121.54531,捷運動物園站(2號出口),24.997659,121.578752,2
388,94,景華街128巷口,24.995563,121.547092,捷運景美站,24.993254,121.541059,69
388,98,景華街128巷口,24.995563,121.547092,羅斯福景隆街口,24.999378,121.540197,2
388,206,景華街128巷口,24.995563,121.547092,捷運辛亥站,25.005386,121.55716,2
388,391,景華街128巷口,24.995563,121.547092,景仁公園,24.9966,121.540295,5
391,69,景仁公園,24.9966,121.540295,興豐公園,24.999837,121.547778,2
391,94,景仁公園,24.9966,121.540295,捷運景美站,24.993254,121.541059,2
391,98,景仁公園,24.9966,121.540295,羅斯福景隆街口,24.999378,121.540197,2
391,104,景仁公園,24.9966,121.540295,台北花木批發市場,25.004023,121.54074,4
391,315,景仁公園,24.9966,121.540295,捷運萬隆站(1號出口),25.001447,121.539037,35
